s_bene,genere,nome_regione,nome_provincia,nome_comune,categoria,sottocategoria,provvedimento,quota_confiscata,ufficio_giudiziario,distretto,tipologia_procedura
I-LT-96309-S,immobili,Lazio,Latina,Formia,Altra unità immobiliare,Altro,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96310-S,immobili,Lazio,Latina,Formia,Altra unità immobiliare,Altro,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96346-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96347-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96348-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96349-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96350-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96351-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96352-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96981-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96982-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96983-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96984-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96985-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96986-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96987-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96988-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96989-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96990-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96991-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96992-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96993-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96994-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96995-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96996-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96997-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96998-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-96999-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97000-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97001-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97002-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97003-S,immobili,Lazio,Latina,Spigno Saturnia,Altra unità immobiliare,Ex fabbricato rurale,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97004-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97005-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97006-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97007-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97008-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97009-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97010-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97011-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97012-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97013-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97014-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97015-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97016-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97017-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97018-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97019-S,immobili,Lazio,Latina,Spigno Saturnia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97022-S,immobili,Lazio,Latina,Formia,Terreno,Terreno agricolo,Confisca II,0%,Tribunale,Latina,Misure di Prevenzione
I-LT-97180-S,immobili,Lazio,Latina,Latina,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Latina,Misure di Prevenzione
I-LT-97181-S,immobili,Lazio,Latina,Roccasecca dei Volsci,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca def.,100%,Tribunale,Latina,Misure di Prevenzione
I-LT-97527-S,immobili,Lazio,Latina,Minturno,Unità immobiliare a destinazione commerciale e industriale,"Negozio, Bottega",Confisca def.,100%,Tribunale,Santa Maria Capua Vetere,Misure di Prevenzione
I-LT-97529-S,immobili,Lazio,Latina,Minturno,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca def.,100%,Tribunale,Santa Maria Capua Vetere,Misure di Prevenzione
I-LT-97539-S,immobili,Lazio,Latina,Minturno,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Santa Maria Capua Vetere,Misure di Prevenzione
I-LU-101841-S,immobili,Toscana,Lucca,Lucca,Terreno,Terreno agricolo,Confisca def.,50%,Procura della Repubblica,Milano,Procedimento Penale
I-LU-101842-S,immobili,Toscana,Lucca,Lucca,Terreno,Terreno agricolo,Confisca def.,50%,Procura della Repubblica,Milano,Procedimento Penale
I-LU-101843-S,immobili,Toscana,Lucca,Lucca,Terreno,Terreno agricolo,Confisca def.,50%,Procura della Repubblica,Milano,Procedimento Penale
I-LU-101845-S,immobili,Toscana,Lucca,Lucca,Terreno,Terreno agricolo,Confisca def.,50%,Procura della Repubblica,Milano,Procedimento Penale
I-LU-101846-S,immobili,Toscana,Lucca,Lucca,Terreno,Terreno agricolo,Confisca def.,50%,Procura della Repubblica,Milano,Procedimento Penale
I-LU-108414-S,immobili,Toscana,Lucca,Viareggio,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,47%,Tribunale,Massa Carrara,Misure di Prevenzione
I-LU-118852-S,immobili,Toscana,Lucca,Lucca,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca I,100%,Tribunale,Firenze,Misure di Prevenzione
I-LU-118876-S,immobili,Toscana,Lucca,Lucca,Unità immobiliare a destinazione commerciale e industriale,Fabbricato/Locale per esercizi sportivi,Confisca I,100%,Tribunale,Firenze,Misure di Prevenzione
I-LU-118886-S,immobili,Toscana,Lucca,Lucca,Terreno,Terreno agricolo,Confisca I,100%,Tribunale,Firenze,Misure di Prevenzione
I-LU-118887-S,immobili,Toscana,Lucca,Lucca,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca I,100%,Tribunale,Firenze,Misure di Prevenzione
I-LU-118890-S,immobili,Toscana,Lucca,Altopascio,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca I,11%,Tribunale,Firenze,Misure di Prevenzione
I-LU-118895-S,immobili,Toscana,Lucca,Lucca,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca I,100%,Tribunale,Firenze,Misure di Prevenzione
I-LU-118917-S,immobili,Toscana,Lucca,Lucca,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca I,100%,Tribunale,Firenze,Misure di Prevenzione
I-LU-118921-S,immobili,Toscana,Lucca,Altopascio,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca I,100%,Tribunale,Firenze,Misure di Prevenzione
I-LU-118925-S,immobili,Toscana,Lucca,Lucca,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca I,100%,Tribunale,Firenze,Misure di Prevenzione
I-LU-131428-S,immobili,Toscana,Lucca,Pietrasanta,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca def.,100%,Tribunale,Venezia,Misure di Prevenzione
I-LU-36226-S,immobili,Toscana,Lucca,Viareggio,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Lucca,Misure di Prevenzione
I-LU-59495-S,immobili,Toscana,Lucca,Viareggio,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,32%,Tribunale,Lucca,Misure di Prevenzione
I-LU-59496-S,immobili,Toscana,Lucca,Viareggio,Unità immobiliare a destinazione commerciale e industriale,"Negozio, Bottega",Confisca def.,100%,Tribunale,Lucca,Misure di Prevenzione
I-LU-59498-S,immobili,Toscana,Lucca,Viareggio,Unità immobiliare a destinazione commerciale e industriale,"Negozio, Bottega",Confisca def.,100%,Tribunale,Lucca,Misure di Prevenzione
I-LU-59513-S,immobili,Toscana,Lucca,Viareggio,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Lucca,Misure di Prevenzione
I-LU-59514-S,immobili,Toscana,Lucca,Viareggio,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Lucca,Misure di Prevenzione
I-LU-59518-S,immobili,Toscana,Lucca,Viareggio,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Lucca,Misure di Prevenzione
I-LU-59521-S,immobili,Toscana,Lucca,Viareggio,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Lucca,Misure di Prevenzione
I-LU-59523-S,immobili,Toscana,Lucca,Viareggio,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Lucca,Misure di Prevenzione
I-LU-75793-S,immobili,Toscana,Lucca,Pietrasanta,Unità immobiliare per uso di abitazione e assimilabile,Villa,Confisca II,100%,Tribunale,Venezia,Misure di Prevenzione
I-LU-76832-S,immobili,Toscana,Lucca,Altopascio,Unità immobiliare a destinazione commerciale e industriale,"Magazzino, Locale di deposito",Confisca def.,100%,Procura della Repubblica,Pistoia,Procedimento Penale
I-LU-79571-S,immobili,Toscana,Lucca,Altopascio,Altra unità immobiliare,Fabbricato in corso di costruzione indivisibile,Confisca def.,0%,Procura della Repubblica,Pistoia,Procedimento Penale
I-LU-86289-S,immobili,Toscana,Lucca,Viareggio,Unità immobiliare a destinazione commerciale e industriale,"Negozio, Bottega",Confisca def.,0%,Procura della Repubblica,Napoli,Procedimento Penale
I-LU-8665-S,immobili,Toscana,Lucca,Camaiore,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Prato,Misure di Prevenzione
I-LU-91507-S,immobili,Toscana,Lucca,Lucca,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-LU-91508-S,immobili,Toscana,Lucca,Lucca,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-LU-91509-S,immobili,Toscana,Lucca,Lucca,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-LU-93196-S,immobili,Toscana,Lucca,Pietrasanta,Unità immobiliare per uso di abitazione e assimilabile,Villa,Confisca def.,100%,Tribunale,Reggio Emilia,Misure di Prevenzione
I-MB-100407-S,immobili,Lombardia,Monza e Brianza,Brugherio,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca II,33%,Tribunale,Milano,Misure di Prevenzione
I-MB-100408-S,immobili,Lombardia,Monza e Brianza,Brugherio,Terreno,Terreno agricolo,Confisca def.,4%,Tribunale,Milano,Misure di Prevenzione
I-MB-100409-S,immobili,Lombardia,Monza e Brianza,Brugherio,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-100412-S,immobili,Lombardia,Monza e Brianza,Brugherio,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-100413-S,immobili,Lombardia,Monza e Brianza,Brugherio,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca II,33%,Tribunale,Milano,Misure di Prevenzione
I-MB-100624-S,immobili,Lombardia,Monza e Brianza,Correzzana,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Procura della Repubblica,Monza,Procedimento Penale
I-MB-101603-S,immobili,Lombardia,Monza e Brianza,Monza,Altra unità immobiliare,Altro,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-103736-S,immobili,Lombardia,Monza e Brianza,Barlassina,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Monza,Misure di Prevenzione
I-MB-103737-S,immobili,Lombardia,Monza e Brianza,Barlassina,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Monza,Misure di Prevenzione
I-MB-103738-S,immobili,Lombardia,Monza e Brianza,Barlassina,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Monza,Misure di Prevenzione
I-MB-103739-S,immobili,Lombardia,Monza e Brianza,Barlassina,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Monza,Misure di Prevenzione
I-MB-10571-S,immobili,Lombardia,Monza e Brianza,Agrate Brianza,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,33%,Tribunale,Monza,Misure di Prevenzione
I-MB-10572-S,immobili,Lombardia,Monza e Brianza,Agrate Brianza,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33%,Tribunale,Monza,Misure di Prevenzione
I-MB-10573-S,immobili,Lombardia,Monza e Brianza,Agrate Brianza,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Monza,Misure di Prevenzione
I-MB-10574-S,immobili,Lombardia,Monza e Brianza,Agrate Brianza,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Monza,Misure di Prevenzione
I-MB-10575-S,immobili,Lombardia,Monza e Brianza,Agrate Brianza,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Monza,Misure di Prevenzione
I-MB-108269-S,immobili,Lombardia,Monza e Brianza,Concorezzo,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-108300-S,immobili,Lombardia,Monza e Brianza,Concorezzo,Unità immobiliare a destinazione commerciale e industriale,Fabbricato industriale,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-131718-S,immobili,Lombardia,Monza e Brianza,Vedano al Lambro,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Varese,Misure di Prevenzione
I-MB-132650-S,immobili,Lombardia,Monza e Brianza,Bellusco,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-132782-S,immobili,Lombardia,Monza e Brianza,Seregno,Unità immobiliare a destinazione commerciale e industriale,"Negozio, Bottega",Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-132827-S,immobili,Lombardia,Monza e Brianza,Desio,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-133178-S,immobili,Lombardia,Monza e Brianza,Barlassina,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Monza,Misure di Prevenzione
I-MB-16566-S,immobili,Lombardia,Monza e Brianza,Busnago,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,50%,Tribunale,Milano,Misure di Prevenzione
I-MB-16567-S,immobili,Lombardia,Monza e Brianza,Busnago,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50%,Tribunale,Milano,Misure di Prevenzione
I-MB-1790-S,immobili,Lombardia,Monza e Brianza,Muggiò,Altra unità immobiliare,Altro,Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-1814-S,immobili,Lombardia,Monza e Brianza,Desio,Terreno,Terreno - non definito,Confisca def.,50%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-1825-S,immobili,Lombardia,Monza e Brianza,Macherio,Unità immobiliare a destinazione commerciale e industriale,"Magazzino, Locale di deposito",Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-1826-S,immobili,Lombardia,Monza e Brianza,Macherio,Unità immobiliare a destinazione commerciale e industriale,"Magazzino, Locale di deposito",Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-1827-S,immobili,Lombardia,Monza e Brianza,Macherio,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-1828-S,immobili,Lombardia,Monza e Brianza,Macherio,Altra unità immobiliare,Altro,Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-1829-S,immobili,Lombardia,Monza e Brianza,Macherio,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-1830-S,immobili,Lombardia,Monza e Brianza,Macherio,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-1856-S,immobili,Lombardia,Monza e Brianza,Desio,Unità immobiliare a destinazione commerciale e industriale,"Negozio, Bottega",Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-1857-S,immobili,Lombardia,Monza e Brianza,Desio,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-1883-S,immobili,Lombardia,Monza e Brianza,Desio,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,10%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-1884-S,immobili,Lombardia,Monza e Brianza,Desio,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,10%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-1895-S,immobili,Lombardia,Monza e Brianza,Carate Brianza,Terreno,Terreno - non definito,Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-19008-S,immobili,Lombardia,Monza e Brianza,Cesano Maderno,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Monza,Misure di Prevenzione
I-MB-19009-S,immobili,Lombardia,Monza e Brianza,Cesano Maderno,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Monza,Misure di Prevenzione
I-MB-22786-S,immobili,Lombardia,Monza e Brianza,Villasanta,Unità immobiliare per uso di abitazione e assimilabile,Villa,Confisca def.,100%,Tribunale,Caltanissetta,Misure di Prevenzione
I-MB-25953-S,immobili,Lombardia,Monza e Brianza,Nova Milanese,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,75%,Tribunale,Milano,Misure di Prevenzione
I-MB-25960-S,immobili,Lombardia,Monza e Brianza,Nova Milanese,Unità immobiliare per uso di abitazione e assimilabile,Altro,Confisca def.,75%,Tribunale,Milano,Misure di Prevenzione
I-MB-25961-S,immobili,Lombardia,Monza e Brianza,Nova Milanese,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,75%,Tribunale,Milano,Misure di Prevenzione
I-MB-25962-S,immobili,Lombardia,Monza e Brianza,Nova Milanese,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,75%,Tribunale,Milano,Misure di Prevenzione
I-MB-25963-S,immobili,Lombardia,Monza e Brianza,Nova Milanese,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,75%,Tribunale,Milano,Misure di Prevenzione
I-MB-29264-S,immobili,Lombardia,Monza e Brianza,Misinto,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-29265-S,immobili,Lombardia,Monza e Brianza,Misinto,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-29267-S,immobili,Lombardia,Monza e Brianza,Misinto,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-29268-S,immobili,Lombardia,Monza e Brianza,Misinto,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-29269-S,immobili,Lombardia,Monza e Brianza,Misinto,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-29306-S,immobili,Lombardia,Monza e Brianza,Monza,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,50%,Tribunale,Milano,Misure di Prevenzione
I-MB-29307-S,immobili,Lombardia,Monza e Brianza,Agrate Brianza,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-29450-S,immobili,Lombardia,Monza e Brianza,Cesano Maderno,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",,100%,Procura della Repubblica,Milano,Procedimento Penale
I-MB-30317-S,immobili,Lombardia,Monza e Brianza,Desio,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-30318-S,immobili,Lombardia,Monza e Brianza,Desio,Unità immobiliare a destinazione commerciale e industriale,Fabbricato industriale,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-30319-S,immobili,Lombardia,Monza e Brianza,Desio,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-30323-S,immobili,Lombardia,Monza e Brianza,Seregno,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-30324-S,immobili,Lombardia,Monza e Brianza,Seregno,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-30331-S,immobili,Lombardia,Monza e Brianza,Varedo,Terreno,Terreno agricolo,Confisca def.,60%,Tribunale,Milano,Misure di Prevenzione
I-MB-31689-S,immobili,Lombardia,Monza e Brianza,Vedano al Lambro,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Varese,Misure di Prevenzione
I-MB-31690-S,immobili,Lombardia,Monza e Brianza,Vedano al Lambro,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Varese,Misure di Prevenzione
I-MB-34758-S,immobili,Lombardia,Monza e Brianza,Usmate Velate,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Monza,Misure di Prevenzione
I-MB-36010-S,immobili,Lombardia,Monza e Brianza,Correzzana,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Procura della Repubblica,Monza,Procedimento Penale
I-MB-36122-S,immobili,Lombardia,Monza e Brianza,Cornate d'Adda,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
I-MB-36124-S,immobili,Lombardia,Monza e Brianza,Cornate d'Adda,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Milano,Misure di Prevenzione
